name,num_of_concerts,date,genres
Coldplay,40 concerts,"November 16, 2024",Alternative Rock / Indie
Metallica,27 concerts,"September 29, 2024",Hard Rock / Heavy Metal
Eagles,13 concerts,"June 15, 2024",Pop Music / Soft Rock
Pink,53 concerts,"November 23, 2024",Pop Music / Soft Rock
Bruno Mars,5 concerts,"April 06, 2024",Pop Music / Soft Rock
Red Hot Chili Peppers,20 concerts,"July 30, 2024",Alternative Rock / Indie
Adele,28 concerts,"August 31, 2024",Pop Music / Soft Rock
Maroon 5,16 concerts,"October 12, 2024",Alternative Rock / Indie
Foo Fighters,30 concerts,"August 18, 2024",Alternative Rock / Indie
Journey,39 concerts,"September 08, 2024",Pop Music / Soft Rock
Taylor Swift,73 concerts,"December 08, 2024",Country / Folk
Ed Sheeran,22 concerts,"September 07, 2024",Alternative Rock / Indie
Rod Stewart,44 concerts,"September 13, 2024",Pop Music / Soft Rock
Billy Joel,15 concerts,"November 09, 2024",Pop Music / Soft Rock
Iron Maiden,39 concerts,"December 07, 2024",Hard Rock / Heavy Metal
Sting,31 concerts,"November 09, 2024",Pop Music / Soft Rock
Rammstein,29 concerts,"July 31, 2024",Hard Rock / Heavy Metal
Imagine Dragons,1 concert,"March 29, 2024",Alternative Rock / Indie
Def Leppard,26 concerts,"September 10, 2024",Hard Rock / Heavy Metal
AC/DC,19 concerts,"August 17, 2024",Hard Rock / Heavy Metal
Drake,14 concerts,"April 16, 2024",Rap / Hip-Hop
Eric Clapton,15 concerts,"October 03, 2024",Pop Music / Soft Rock
Snoop Dogg,1 concert,"May 04, 2024",Rap / Hip-Hop
System Of A Down,1 concert,"April 27, 2024",Hard Rock / Heavy Metal
Andrea Bocelli,25 concerts,"January 25, 2025",Classical / Instrumental
Scorpions,31 concerts,"September 20, 2024",Hard Rock / Heavy Metal
Pearl Jam,32 concerts,"November 08, 2024",Alternative Rock / Indie
Slipknot,15 concerts,"December 21, 2024",Hard Rock / Heavy Metal
Kendrick Lamar,2 concerts,"March 29, 2024",Rap / Hip-Hop
Luke Bryan,38 concerts,"October 18, 2024",Country / Folk
Chicago - The Band,44 concerts,"September 07, 2024",Pop Music / Soft Rock
The Rolling Stones,20 concerts,"June 24, 2025",Hard Rock / Heavy Metal
Green Day,38 concerts,"September 28, 2024",Alternative Rock / Indie
Lana Del Rey,7 concerts,"August 21, 2024",Alternative Rock / Indie
Dave Matthews Band,47 concerts,"September 19, 2024",Alternative Rock / Indie
Pitbull,2 concerts,"March 10, 2024",Rap / Hip-Hop
The Killers,31 concerts,"September 27, 2024",Punk / Garage Rock
Bon Jovi,1 concert,"March 16, 2024",Hard Rock / Heavy Metal
Styx,53 concerts,"August 30, 2024",Pop Music / Soft Rock
The Pink Floyd Experience,2 concerts,"July 06, 2024",Pop Music / Soft Rock
Michael BublÃ©,4 concerts,"April 20, 2024",Pop Music / Soft Rock
Bryan Adams,61 concerts,"November 20, 2024",Pop Music / Soft Rock
Nickelback,18 concerts,"July 18, 2024",Hard Rock / Heavy Metal
Post Malone,6 concerts,"June 13, 2024",Rap / Hip-Hop
Madonna,24 concerts,"April 26, 2024",Pop Music / Soft Rock
Avenged Sevenfold,27 concerts,"June 29, 2024",Hard Rock / Heavy Metal
Usher,75 concerts,"May 02, 2025",Soul / R&B
Foreigner,76 concerts,"November 09, 2024",Hard Rock / Heavy Metal
Yes,16 concerts,"July 18, 2024",Progressive Rock
Disturbed,7 concerts,"May 16, 2024",Hard Rock / Heavy Metal
Korn,12 concerts,"August 19, 2024",Hard Rock / Heavy Metal
Tool,13 concerts,"June 26, 2024",Alternative Rock / Indie
John Legend,14 concerts,"August 16, 2024",Soul / R&B
Blink-182,49 concerts,"September 27, 2024",Punk / Garage Rock
Carlos Santana,55 concerts,"November 10, 2024",Pop Music / Soft Rock
James Taylor,44 concerts,"September 15, 2024",Pop Music / Soft Rock
Five Finger Death Punch,26 concerts,"September 01, 2024",Hard Rock / Heavy Metal
Lynyrd Skynyrd,42 concerts,"September 22, 2024",Hard Rock / Heavy Metal
Wiz Khalifa,5 concerts,"April 26, 2024",Rap / Hip-Hop
Duran Duran,3 concerts,"July 25, 2024",Pop Music / Soft Rock
Judas Priest,53 concerts,"July 24, 2024",Hard Rock / Heavy Metal
The Beach Boys,27 concerts,"September 27, 2024",Pop Music / Soft Rock
Backstreet Boys,1 concert,"May 04, 2024",Pop Music / Soft Rock
ZZ Top,64 concerts,"September 22, 2024",Pop Music / Soft Rock
Bring Me The Horizon,14 concerts,"July 10, 2024",Hard Rock / Heavy Metal
Kid Rock,7 concerts,"July 26, 2024",Country / Folk
Tim McGraw,49 concerts,"August 30, 2024",Country / Folk
Willie Nelson,43 concerts,"September 17, 2024",Country / Folk
Kings of Leon,26 concerts,"October 05, 2024",Alternative Rock / Indie
Bruce Springsteen,51 concerts,"November 22, 2024",Pop Music / Soft Rock
Lil Wayne,8 concerts,"June 01, 2024",Rap / Hip-Hop
The Who,2 concerts,"March 20, 2024",Hard Rock / Heavy Metal
Evanescence,4 concerts,"December 06, 2024",Hard Rock / Heavy Metal
Alice Cooper,43 concerts,"October 18, 2024",Hard Rock / Heavy Metal
Shinedown,6 concerts,"July 27, 2024",Hard Rock / Heavy Metal
Il Divo,12 concerts,"July 31, 2024",Classical / Instrumental
Marc Anthony,11 concerts,"June 21, 2024",Latin Music
Macklemore,12 concerts,"July 11, 2024",Rap / Hip-Hop
Zac Brown Band,24 concerts,"August 25, 2024",Country / Folk
Enrique Iglesias,2 concerts,"March 10, 2024",Latin Music
MÃ¶tley CrÃ¼e,7 concerts,"July 19, 2024",Hard Rock / Heavy Metal
Black Veil Brides,26 concerts,"May 25, 2024",Hard Rock / Heavy Metal
Whitesnake,1 concert,"April 05, 2024",Hard Rock / Heavy Metal
OneRepublic,3 concerts,"August 30, 2024",Pop Music / Soft Rock
Eric Church,10 concerts,"August 01, 2024",Country / Folk
Joe Bonamassa,45 concerts,"August 31, 2024",Jazz / Blues
Billy Idol,2 concerts,"May 03, 2024",Pop Music / Soft Rock
The Offspring,17 concerts,"September 27, 2024",Punk / Garage Rock
30 Seconds to Mars,62 concerts,"September 19, 2024",Alternative Rock / Indie
Lionel Richie,32 concerts,"November 16, 2024",Pop Music / Soft Rock
Deep Purple,13 concerts,"August 03, 2024",Hard Rock / Heavy Metal
Steely Dan,12 concerts,"June 15, 2024",Jazz / Blues
Nelly,46 concerts,"July 30, 2024",Rap / Hip-Hop
Tom Jones,42 concerts,"August 18, 2024",Pop Music / Soft Rock
Stevie Nicks,17 concerts,"June 21, 2024",Pop Music / Soft Rock
Megadeth,24 concerts,"June 29, 2024",Hard Rock / Heavy Metal
Jason Aldean,39 concerts,"October 05, 2024",Country / Folk
Fall Out Boy,23 concerts,"October 20, 2024",Punk / Garage Rock
Machine Gun Kelly,1 concert,"July 25, 2024",Rap / Hip-Hop
Boyz II Men,17 concerts,"September 27, 2024",Soul / R&B
Carrie Underwood,27 concerts,"October 26, 2024",Country / Folk
Norah Jones,24 concerts,"August 06, 2024",Jazz / Blues
Kansas,20 concerts,"May 18, 2024",Progressive Rock
Fantasia,3 concerts,"July 26, 2024",Soul / R&B
Jackson Browne,1 concert,"April 18, 2024",Pop Music / Soft Rock
Shania Twain,24 concerts,"December 14, 2024",Country / Folk
David Guetta,15 concerts,"September 07, 2024",Electronic Music / Dance
John Mayer,10 concerts,"March 29, 2024",Pop Music / Soft Rock
Garth Brooks,36 concerts,"December 22, 2024",Country / Folk
Incubus,25 concerts,"September 12, 2024",Alternative Rock / Indie
Lenny Kravitz,13 concerts,"August 02, 2024",Pop Music / Soft Rock
The Doobie Brothers,39 concerts,"August 30, 2024",Pop Music / Soft Rock
Godsmack,29 concerts,"July 19, 2024",Alternative Rock / Indie
Train,49 concerts,"September 11, 2024",Pop Music / Soft Rock
Depeche Mode,15 concerts,"April 08, 2024",Electronic Music / Dance
Avril Lavigne,37 concerts,"September 16, 2024",Pop Music / Soft Rock
Matchbox Twenty,1 concert,"September 19, 2024",Pop Music / Soft Rock
Engelbert Humperdinck,9 concerts,"June 15, 2024",Pop Music / Soft Rock
Alicia Keys,1 concert,"May 04, 2024",Soul / R&B
Neil Young,16 concerts,"September 19, 2024",Pop Music / Soft Rock
AndrÃ© Rieu,18 concerts,"January 12, 2025",Classical / Instrumental
Celtic Thunder,1 concert,"March 22, 2024",World Music
Bob Dylan,45 concerts,"September 17, 2024",Pop Music / Soft Rock
Jonas Brothers,37 concerts,"July 13, 2024",Pop Music / Soft Rock
Rise Against,3 concerts,"May 16, 2024",Punk / Garage Rock
Robbie Williams,1 concert,"July 06, 2024",Pop Music / Soft Rock
George Strait,9 concerts,"December 07, 2024",Country / Folk
Sleeping With Sirens,2 concerts,"October 19, 2024",Hard Rock / Heavy Metal
J. Cole,11 concerts,"April 16, 2024",Rap / Hip-Hop
The Black Keys,1 concert,"March 07, 2024",Jazz / Blues
Kem,9 concerts,"August 02, 2024",Soul / R&B
Jack Johnson,3 concerts,"March 28, 2024",Pop Music / Soft Rock
Dropkick Murphys,24 concerts,"July 19, 2024",Punk / Garage Rock
The Script,25 concerts,"October 20, 2024",Pop Music / Soft Rock
Deftones,2 concerts,"April 19, 2024",Hard Rock / Heavy Metal
Rob Zombie,21 concerts,"September 18, 2024",Hard Rock / Heavy Metal
