Unit,Group Name/Partner,Date and Time,Borough,LocationType,Location,Event Name,Event Type,Category,Classification,Audience,Attendance
Recreation,sin información,09/15/2018 10:00:00 AM,Manhattan,Park,Thomas Jefferson Park,Jefferson Track Day,Community Based Event,Fitness,sin información,General Public,82.0
Recreation,sin información,09/22/2018 07:30:00 PM,Manhattan,Playground,Baruch Playground,Movies Under the Stars - Black Panther,Community Based Event,Mobile Unit,Movies,General Public,139.0
Recreation,sin información,09/22/2018 11:00:00 AM,Manhattan,Recreation Center,Pelham Fritz Recreation Center,Family and Friends Day,Community Based Event,Family Festival,sin información,General Public,120.0
Recreation,Alvin Ailey,09/22/2018 03:00:00 PM,Manhattan,Park,Highbridge Park,ACF Alvin Ailey: Revelations,Community Based Event,Arts/Culture,Dance,General Public,15.0
Recreation,sin información,09/21/2018 07:30:00 PM,Manhattan,Playground,Courtney Callender Playground,Movies Under the Stars - Toy Story,Community Based Event,Mobile Unit,Movies,General Public,72.0
Recreation,sin información,09/21/2018 06:00:00 PM,Manhattan,Recreation Center,Asser Levy Recreation Center,Art Inspired By... Alma Thomas,Community Based Event,Arts/Culture,AC&F,General Public,16.0
Recreation,sin información,09/21/2018 06:00:00 PM,Manhattan,Park,James J Walker Park,Movies Under the Stars - Grease Sing Along,Community Based Event,Mobile Unit,AC&F,General Public,67.0
Recreation,sin información,09/20/2018 07:30:00 PM,Manhattan,Playground,Corlears Hook Playground,Movies Under the Stars - The Greatest Showman,Community Based Event,Mobile Unit,Movies,General Public,111.0
Recreation,sin información,09/19/2018 07:30:00 PM,Manhattan,Playground,Poor Richard's Playground,Movies Under the Stars - Space Jam,Community Based Event,Mobile Unit,Movies,General Public,67.0
Recreation,sin información,09/20/2018 07:00:00 PM,Bronx,Playground,Slattery Playground,Movies Under The Stars: Black Panther,Community Based Event,Mobile Unit,Movies,General Public,20.0
Recreation,sin información,09/15/2018 08:00:00 PM,Queens,Playground,Ehrenreich/Austin Playground,"Movies Under the Stars ""Kubo and the Two Strings""",Community Based Event,Mobile Unit,Movies,General Public,67.0
Recreation,sin información,09/14/2018 08:00:00 PM,Queens,Park,Brookville Park,"Movies Under the Stars ""Coco""",Community Based Event,Mobile Unit,Movies,General Public,21.0
Recreation,sin información,09/15/2018 07:00:00 PM,Bronx,Recreation Center,Williamsbridge Oval Recreation Center,Movies Under The Stars: Honey I Shrunk The Kids,Community Based Event,Mobile Unit,Lecture/Panel/Talk,General Public,73.0
Recreation,Harlem Dance Club,09/15/2018 04:00:00 PM,Manhattan,Park,Marcus Garvey Park,Harlem Dance Festival,Community Based Event,Arts/Culture,Dance,General Public,1426.0
Recreation,sin información,09/15/2018 07:30:00 PM,Manhattan,Playground,Matthews - Palmer Playground,Movies Under the Stars - Rogue One: A Star Wars Story,Community Based Event,Mobile Unit,Movies,General Public,55.0
