city,artist,venue,weekend,pop,month,score,genre,minprice
Detroit,Sam Hunt,Ford Field,0,688701,10,76,Country,39.75
Minneapolis,Sam Hunt,Target Field,1,400070,7,76,Country,24.75
Denver,Sam Hunt,Sports Authority Field At Mile High,1,649495,8,76,Country,29.75
Alpharetta,Niall Horan,Verizon Amphitheatre,0,62298,9,78,Rock,47.0
Hartford,Sam Hunt,XFINITY Theatre,0,125017,6,76,Country,20.0
Foxborough,Ed Sheeran,Gillette Stadium,1,???,9,94,Pop,39.5
Raleigh,G-Eazy,Coastal Credit Union Music Park at Walnut Creek,0,431746,9,88,Hip-Hop/Rap,29.5
Maryland Heights,G-Eazy,"Hollywood Casino Amphitheatre - St. Louis, MO",1,???,8,88,Hip-Hop/Rap,29.5
Bristow,G-Eazy,Jiffy Lube Live,0,???,8,88,Hip-Hop/Rap,29.5
Mountain View,G-Eazy,Shoreline Amphitheatre,1,77846,7,88,Hip-Hop/Rap,29.5
Hartford,G-Eazy,XFINITY Theatre,1,125017,8,88,Hip-Hop/Rap,20.0
Arlington,Ed Sheeran,AT&T Stadium,1,75994,10,94,Pop,39.5
Phoenix,G-Eazy,Ak-Chin Pavilion,0,1513367,8,88,Hip-Hop/Rap,29.5
Chula Vista,G-Eazy,Mattress Firm Amphitheatre (Formerly Sleep Train Amphitheatre),0,256780,8,88,Hip-Hop/Rap,25.0
Chicago,Florida Georgia Line,Huntington Bank Pavilion at Northerly Island,1,2718782,6,85,Country,18.88
Chicago,Florida Georgia Line,Huntington Bank Pavilion at Northerly Island,0,2718782,6,85,Country,24.88
Mountain View,Keith Urban,Shoreline Amphitheatre,0,77846,7,77,Country,40.25
Clarkston,Keith Urban,DTE Energy Music Theatre,0,???,6,77,Country,30.0
Noblesville,Keith Urban,Ruoff Home Mortgage Music Center,1,56540,6,77,Country,37.25
Maryland Heights,Keith Urban,"Hollywood Casino Amphitheatre - St. Louis, MO",0,???,6,77,Country,38.25
Tinley Park,Keith Urban,"Hollywood Casino Amphitheatre - Chicago, IL",1,57282,8,77,Country,39.25
Canandaigua,Keith Urban,Constellation BrandsäóñMarvin Sands Performing Arts Center: CMAC,1,???,7,77,Country,35.0
Saratoga Springs,Keith Urban,Saratoga Performing Arts Center,0,???,6,77,Country,20.0
Charlotte,Keith Urban,PNC Music Pavilion,1,44349,7,77,Country,39.25
Boston,Bad Bunny,Agganis Arena,0,645966,8,95,Hip-Hop/Rap,60.5
Sugar Land,Bad Bunny,Smart Financial Centre at Sugar Land,0,83860,8,95,Hip-Hop/Rap,55.5
Orange Beach,Keith Urban,The Wharf Amphitheater,1,???,8,77,Country,20.0
Burgettstown,Keith Urban,KeyBank Pavilion,1,???,6,77,Country,39.0
Atlanta,Bad Bunny,Philips Arena,0,447841,11,95,Hip-Hop/Rap,54.5
Milwaukee,Ed Sheeran,Miller Park,0,599164,10,94,Pop,39.5
Ontario,Bad Bunny,Citizens Business Bank Arena,1,167500,9,95,Hip-Hop/Rap,52.5
Fairfax,Bad Bunny,EagleBank Arena,0,???,8,95,Hip-Hop/Rap,59.0
San Francisco,Ed Sheeran,AT & T Park,0,66174,8,94,Pop,39.5
Pittsburgh,Sam Hunt,Heinz Field,1,305841,6,76,Country,42.5
Wheatland,Lil Uzi Vert,Toyota Amphitheatre,1,???,7,89,Hip-Hop/Rap,29.5
Burgettstown,Rae Sremmurd,KeyBank Pavilion,0,???,7,87,Hip-Hop/Rap,29.5
Tampa,Sam Hunt,Raymond James Stadium,1,352957,6,76,Country,29.75
Montreal,Halsey,MTELUS,1,???,7,85,Rock,49.5
