event_id,match_id,team,event_team,event_time,event_type,action_player_1,action_player_2
1,1,Argentina,home,23.0,Penalty, Lionel Messi , Penalty 
2,1,Argentina,home,36.0,Goal, Ángel Di María , Alexis Mac Allister 
3,1,France,away,41.0,Substitution, Randal Kolo Muani , Ousmane Dembélé 
4,1,France,away,41.0,Substitution, Marcus Thuram , Olivier Giroud 
5,1,Argentina,home,52.0,Yellow card, Enzo Fernández ,sin información
6,1,France,away,55.0,Yellow card, Adrien Rabiot ,sin información
7,1,Argentina,home,64.0,Substitution, Marcos Acuña , Ángel Di María 
8,1,France,away,71.0,Substitution, Eduardo Camavinga , Theo Hernandez 
9,1,France,away,71.0,Substitution, Kingsley Coman , Antoine Griezmann 
10,1,France,away,80.0,Penalty, Kylian Mbappé , Penalty 
11,1,France,away,81.0,Goal, Kylian Mbappé , Marcus Thuram 
12,1,France,away,87.0,Yellow card, Marcus Thuram ,sin información
13,1,France,away,95.0,Yellow card, Olivier Giroud ,sin información
14,1,Argentina,home,98.0,Yellow card, Marcos Acuña ,sin información
15,1,Argentina,home,90.0,Substitution, Gonzalo Montiel , Nahuel Molina 
16,1,France,away,96.0,Substitution, Youssouf Fofana , Adrien Rabiot 
17,1,Argentina,home,102.0,Substitution, Leandro Paredes , Rodrigo De Paul 
18,1,Argentina,home,103.0,Substitution, Lautaro Martínez , Julián Álvarez 
19,1,Argentina,home,108.0,Goal, Lionel Messi ,sin información
20,1,France,away,113.0,Substitution, Ibrahima Konaté , Raphaël Varane 
21,1,Argentina,home,114.0,Yellow card, Leandro Paredes ,sin información
22,1,Argentina,home,116.0,Yellow card, Gonzalo Montiel ,sin información
23,1,Argentina,home,116.0,Substitution, Germán Pezzella , Alexis Mac Allister 
24,1,France,away,118.0,Penalty, Kylian Mbappé , Penalty 
25,1,Argentina,home,121.0,Substitution, Paulo Dybala , Nicolás Tagliafico 
26,1,France,away,121.0,Substitution, Axel Disasi , Jules Koundé 
27,1,France,away,0.0,PK,sin información,sin información
28,1,Argentina,home,0.0,PK,sin información,sin información
29,1,France,away,0.0,PK,sin información,sin información
30,1,Argentina,home,0.0,PK,sin información,sin información
31,1,France,away,0.0,PK,sin información,sin información
32,1,Argentina,home,0.0,PK,sin información,sin información
33,1,France,away,0.0,PK,sin información,sin información
34,1,Argentina,home,0.0,PK,sin información,sin información
35,1,Argentina,home,126.0,Yellow card, Emiliano Martínez ,sin información
36,2,Croatia,home,7.0,Goal, Joško Gvardiol , Ivan Perišić 
37,2,Morocco,away,9.0,Goal, Achraf Dari ,sin información
